Num,Date,Cloudiness,High Temperature,Humidity,Precipitation,Wind Speed,Summary,Dew Point,Moon Phase
0,2017-12-31 08:00:00,0.26,57.45,0.76,0.0,0.52,Partly cloudy starting in the afternoon.,43.2,0.45
1,2018-01-01 08:00:00,0.18,61.01,0.77,0.0,0.57,Clear throughout the day.,44.51,0.49
2,2018-01-02 08:00:00,0.21,58.94,0.68,0.0,1.32,Partly cloudy until evening.,42.86,0.53
3,2018-01-03 08:00:00,0.62,55.02,0.78,0.1158,1.16,Rain in the afternoon and evening.,46.17,0.57
4,2018-01-04 08:00:00,0.92,61.08,0.9,0.0225,0.89,Mostly cloudy throughout the day.,53.01,0.6
5,2018-01-05 08:00:00,0.96,60.01,0.93,0.0346,1.51,"Light rain until afternoon, starting again overnight.",54.46,0.64
6,2018-01-06 08:00:00,0.47,57.95,0.87,0.011,0.94,Mostly cloudy until afternoon.,48.2,0.67
7,2018-01-07 08:00:00,0.65,51.66,0.89,0.0006,1.26,Mostly cloudy throughout the day.,45.63,0.71
8,2018-01-08 08:00:00,1.0,55.48,0.93,0.1494,1.38,Rain throughout the day.,50.43,0.74
9,2018-01-09 08:00:00,0.92,56.77,0.91,0.2071,2.9,Rain in the morning.,51.99,0.78
10,2018-01-10 08:00:00,0.74,55.18,0.87,0.0024,1.56,Overcast throughout the day.,47.99,0.81
11,2018-01-11 08:00:00,0.72,59.13,0.9,0.0,1.05,Mostly cloudy throughout the day.,50.57,0.84
12,2018-01-12 08:00:00,0.62,56.71,0.9,0.0005,1.26,Mostly cloudy until evening.,48.65,0.87
13,2018-01-13 08:00:00,0.31,58.55,0.82,0.001,2.37,Partly cloudy until evening.,46.05,0.9
14,2018-01-14 08:00:00,0.5,54.79,0.86,0.0003,2.04,Mostly cloudy until afternoon.,46.7,0.93
15,2018-01-15 08:00:00,0.56,57.85,0.85,0.0005,0.66,Mostly cloudy throughout the day.,47.85,0.96
16,2018-01-16 08:00:00,0.94,57.05,0.91,0.0019,0.81,Mostly cloudy throughout the day.,52.07,0.99
17,2018-01-17 08:00:00,0.73,57.35,0.91,0.0,1.17,Mostly cloudy throughout the day.,51.0,0.02
18,2018-01-18 08:00:00,0.97,57.67,0.92,0.0287,2.16,Light rain in the evening.,50.47,0.05
19,2018-01-19 08:00:00,0.37,53.79,0.79,0.0011,2.56,Partly cloudy until afternoon.,42.65,0.08
20,2018-01-20 08:00:00,0.03,55.58,0.71,0.0,2.25,Clear throughout the day.,37.96,0.12
21,2018-01-21 08:00:00,0.41,55.39,0.77,0.0043,2.05,Light rain overnight.,41.59,0.15
22,2018-01-22 08:00:00,0.83,55.72,0.86,0.0542,1.48,Rain in the morning.,47.5,0.18
23,2018-01-23 08:00:00,0.3,57.24,0.83,0.0004,1.12,Partly cloudy until afternoon.,44.32,0.22
24,2018-01-24 08:00:00,0.67,56.95,0.88,0.0817,2.63,Rain starting in the afternoon.,45.26,0.25
25,2018-01-25 08:00:00,0.61,53.92,0.82,0.0202,2.28,Mostly cloudy throughout the day.,42.99,0.29
26,2018-01-26 08:00:00,0.35,54.03,0.81,0.001,0.91,Partly cloudy overnight.,41.14,0.33
27,2018-01-27 08:00:00,0.3,59.75,0.76,0.0,1.22,Partly cloudy until afternoon.,42.97,0.36
28,2018-01-28 08:00:00,0.05,64.24,0.69,0.0003,1.59,Clear throughout the day.,43.58,0.4
29,2018-01-29 08:00:00,0.17,59.98,0.75,0.0,1.52,Partly cloudy until afternoon.,45.27,0.44
