,Date,Cloudiness,High Temperature,Humidity,Precipitation,Wind Speed,Summary,Dew Point,Moon Phase
0,2018-10-29 07:00:00,0.05,68.12,0.57,0.0,3.95,Partly cloudy in the morning.,43.3,0.68
1,2018-10-30 07:00:00,0.02,70.89,0.4,0.0,3.17,Clear throughout the day.,37.97,0.72
2,2018-10-31 07:00:00,0.11,75.71,0.34,0.0,1.57,"Partly cloudy starting in the afternoon, continuing until evening.",35.03,0.75
3,2018-11-01 07:00:00,0.11,80.55,0.46,0.0,1.57,Partly cloudy in the morning.,46.44,0.79
4,2018-11-02 07:00:00,0.06,78.66,0.51,0.0,1.43,Clear throughout the day.,48.16,0.83
5,2018-11-03 07:00:00,0.09,81.36,0.39,0.0,2.24,"Partly cloudy starting in the afternoon, continuing until evening.",40.32,0.87
6,2018-11-04 07:00:00,0.13,71.34,0.46,0.0,2.74,Partly cloudy until afternoon.,41.79,0.9
7,2018-11-05 08:00:00,0.0,72.19,0.48,0.0,2.0,Clear throughout the day.,41.93,0.94
8,2018-11-06 08:00:00,0.01,74.61,0.32,0.0,1.09,Clear throughout the day.,30.77,0.97
9,2018-11-07 08:00:00,0.0,73.35,0.26,0.0,1.75,Clear throughout the day.,26.68,0.02
10,2018-11-08 08:00:00,0.08,70.52,0.18,0.0,4.26,Mostly cloudy overnight.,16.49,0.04
11,2018-11-09 08:00:00,0.7,65.54,0.16,0.0,2.17,Mostly cloudy throughout the day.,12.59,0.08
12,2018-11-10 08:00:00,0.81,61.72,0.26,0.0,2.64,Mostly cloudy throughout the day.,20.13,0.11
13,2018-11-11 08:00:00,0.36,67.59,0.21,0.0,4.26,Partly cloudy starting in the evening.,18.34,0.14
14,2018-11-12 08:00:00,0.26,67.14,0.28,0.0,2.72,Partly cloudy in the morning.,24.54,0.17
15,2018-11-13 08:00:00,0.42,62.43,0.35,0.0,2.57,Partly cloudy throughout the day.,27.88,0.2
16,2018-11-14 08:00:00,0.3,64.99,0.29,0.0,2.17,Partly cloudy starting in the afternoon.,23.2,0.23
17,2018-11-15 08:00:00,0.57,63.0,0.31,0.0,2.65,"Foggy starting in the afternoon, continuing until evening.",24.03,0.26
18,2018-11-16 08:00:00,0.66,64.73,0.33,0.0,2.33,Foggy until evening.,25.81,0.29
19,2018-11-17 08:00:00,0.65,60.92,0.51,0.0,0.96,Foggy until afternoon.,34.99,0.32
20,2018-11-18 08:00:00,0.72,60.07,0.62,0.0,1.1,Foggy until afternoon.,38.91,0.35
21,2018-11-19 08:00:00,0.47,64.18,0.41,0.0,2.92,Partly cloudy throughout the day.,31.54,0.38
22,2018-11-20 08:00:00,0.34,64.15,0.53,0.0,0.46,Partly cloudy starting in the afternoon.,38.31,0.41
23,2018-11-21 08:00:00,0.91,58.24,0.82,0.1429,3.86,Rain until evening.,51.33,0.45
24,2018-11-22 08:00:00,0.75,60.25,0.81,0.2114,6.03,Rain starting in the evening.,50.88,0.48
25,2018-11-23 08:00:00,1.0,59.91,0.9,0.0946,5.44,"Rain starting in the afternoon, continuing until evening.",54.79,0.52
26,2018-11-24 08:00:00,0.63,60.64,0.85,0.0201,3.5,Mostly cloudy until evening.,53.32,0.55
27,2018-11-25 08:00:00,0.34,63.58,0.76,0.0,0.89,Mostly cloudy until afternoon.,47.69,0.59
28,2018-11-26 08:00:00,0.26,62.82,0.74,0.0,1.52,Partly cloudy until evening.,47.93,0.63
29,2018-11-27 08:00:00,0.73,57.99,0.88,0.1348,2.96,"Rain starting in the afternoon, continuing until evening.",51.75,0.67
30,2018-11-28 08:00:00,0.88,61.49,0.86,0.352,2.49,Heavy rain overnight.,54.06,0.7
31,2018-11-29 08:00:00,0.8,56.82,0.82,0.2945,7.54,Rain in the morning.,50.17,0.74
32,2018-11-30 08:00:00,0.18,59.1,0.67,0.0,5.85,Partly cloudy until afternoon.,42.44,0.78
33,2018-12-01 08:00:00,0.56,55.79,0.75,0.0481,5.9,Light rain in the morning.,44.24,0.82
34,2018-12-02 08:00:00,0.1,54.25,0.65,0.0,1.58,"Partly cloudy starting in the afternoon, continuing until evening.",36.94,0.85
35,2018-12-03 08:00:00,0.32,52.7,0.67,0.0,5.43,Mostly cloudy starting in the afternoon.,37.91,0.89
36,2018-12-04 08:00:00,0.82,51.23,0.62,0.0031,5.47,Rain overnight.,37.32,0.92
37,2018-12-05 08:00:00,0.95,52.84,0.79,0.0911,5.37,Mostly cloudy throughout the day.,44.03,0.95
38,2018-12-06 08:00:00,0.42,59.39,0.59,0.0009,3.3,Mostly cloudy in the morning.,39.19,0.98
39,2018-12-07 08:00:00,0.08,59.89,0.63,0.0,1.43,Clear throughout the day.,40.23,0.02
40,2018-12-08 08:00:00,0.06,57.73,0.71,0.0,3.28,Clear throughout the day.,42.67,0.05
41,2018-12-09 08:00:00,0.54,50.55,0.84,0.0,2.35,Mostly cloudy until evening.,43.88,0.08
42,2018-12-10 08:00:00,0.58,55.48,0.83,0.0024,1.93,Mostly cloudy until afternoon.,45.25,0.11
43,2018-12-11 08:00:00,0.47,57.5,0.72,0.0,0.9,Foggy in the morning.,41.84,0.14
44,2018-12-12 08:00:00,0.44,60.33,0.7,0.0003,1.11,Mostly cloudy in the morning.,43.44,0.17
45,2018-12-13 08:00:00,0.0,58.42,0.57,0.0,3.91,Clear throughout the day.,37.37,0.2
46,2018-12-14 08:00:00,0.6,59.27,0.78,0.0121,3.24,Mostly cloudy throughout the day.,46.73,0.23
47,2018-12-15 08:00:00,0.69,58.28,0.79,0.0015,2.29,Mostly cloudy throughout the day.,48.55,0.26
48,2018-12-16 08:00:00,0.89,58.74,0.81,0.1519,5.43,Rain starting in the afternoon.,50.28,0.29
49,2018-12-17 08:00:00,0.64,58.0,0.83,0.0297,1.44,Mostly cloudy until evening.,48.31,0.33
50,2018-12-18 08:00:00,0.45,59.67,0.83,0.0003,1.7,Mostly cloudy throughout the day.,48.39,0.36
51,2018-12-19 08:00:00,0.74,57.11,0.87,0.0009,2.01,Mostly cloudy until evening.,50.8,0.39
52,2018-12-20 08:00:00,0.82,52.95,0.88,0.0008,0.99,Mostly cloudy throughout the day.,47.66,0.43
53,2018-12-21 08:00:00,0.81,55.75,0.88,0.0167,1.46,Mostly cloudy throughout the day.,49.61,0.46
54,2018-12-22 08:00:00,0.38,56.08,0.63,0.0003,1.96,Partly cloudy throughout the day.,38.41,0.51
55,2018-12-23 08:00:00,0.61,57.49,0.69,0.0036,0.86,Mostly cloudy throughout the day.,42.1,0.54
56,2018-12-24 08:00:00,0.94,57.04,0.86,0.1367,3.23,Rain starting in the afternoon.,48.38,0.58
57,2018-12-25 08:00:00,0.26,58.22,0.7,0.0208,5.06,Mostly cloudy in the morning.,41.75,0.61
58,2018-12-26 08:00:00,0.17,57.18,0.65,0.0,2.33,Partly cloudy in the morning.,39.36,0.65
59,2018-12-27 08:00:00,0.07,57.52,0.53,0.0,6.51,Clear throughout the day.,32.75,0.69
