Adelanto,City,San Bernardino,"31,765",56.01,145.1,22-Dec-70
Agoura Hills,City,Los Angeles,"20,330",7.79,20.2,8-Dec-82
Alameda,City,Alameda,"73,812",10.61,27.5,"April 19, 1854"
Albany,City,Alameda,"18,539",1.79,4.6,22-Sep-08
Alhambra,City,Los Angeles,"83,089",7.63,19.8,11-Jul-03
Aliso Viejo,City,Orange,"47,823",7.47,19.3,1-Jul-01
Alturas,City,Modoc,"2,827",2.43,6.3,16-Sep-01
Amador City,City,Amador,185,0.31,0.8,2-Jun-15
American Canyon,City,Napa,"19,454",4.84,12.5,1-Jan-92
Anaheim,City,Orange,"336,265",49.84,129.1,"March 18, 1876"
Anderson,City,Shasta,"9,932",6.37,16.5,16-Jan-56
Angels Camp,City,Calaveras,"3,836",3.63,9.4,16-Jan-12
Antioch,City,Contra Costa,"102,372",28.35,73.4,"February 6, 1872"
Apple Valley,Town,San Bernardino,"69,135",73.19,189.6,28-Nov-88
Arcadia,City,Los Angeles,"56,364",10.93,28.3,5-Aug-03
Arcata,City,Humboldt,"17,231",9.1,23.6,"February 2, 1858"
Arroyo Grande,City,San Luis Obispo,"17,252",5.84,15.1,10-Jul-11
Artesia,City,Los Angeles,"16,522",1.62,4.2,29-May-59
Arvin,City,Kern,"19,304",4.82,12.5,21-Dec-60
Atascadero,City,San Luis Obispo,"28,310",25.64,66.4,2-Jul-79
Atherton,Town,San Mateo,"6,914",5.02,13,12-Sep-23
Atwater,City,Merced,"28,168",6.09,15.8,16-Aug-22
Auburn,City,Placer,"13,330",7.14,18.5,"May 2, 1888"
Avalon,City,Los Angeles,"3,728",2.94,7.6,26-Jun-13
Avenal,City,Kings,"15,505",19.42,50.3,11-Sep-79
Azusa,City,Los Angeles,"46,361",9.66,25,"December 29, 1898"
Bakersfield,City,Kern,"347,483",142.16,368.2,"January 11, 1898"
Baldwin Park,City,Los Angeles,"75,390",6.63,17.2,25-Jan-56
Banning,City,Riverside,"29,603",23.1,59.8,6-Feb-13
Barstow,City,San Bernardino,"22,639",41.38,107.2,30-Sep-47
Beaumont,City,Riverside,"36,877",30.91,80.1,18-Nov-12
Bell,City,Los Angeles,"35,477",2.5,6.5,7-Nov-27
Bell Gardens,City,Los Angeles,"42,072",2.46,6.4,1-Aug-61
Bellflower,City,Los Angeles,"76,616",6.12,15.9,3-Sep-57
Belmont,City,San Mateo,"25,835",4.62,12,29-Oct-26
Belvedere,City,Marin,"2,068",0.52,1.3,"December 24, 1896"
Benicia,City,Solano,"26,997",12.93,33.5,"March 27, 1850"
Berkeley,City,Alameda,"112,580",10.47,27.1,"April 4, 1878"
Beverly Hills,City,Los Angeles,"34,109",5.71,14.8,28-Jan-14
Big Bear Lake,City,San Bernardino,"5,019",6.35,16.4,28-Nov-80
Biggs,City,Butte,"1,707",0.64,1.7,26-Jun-03
Bishop,City,Inyo,"3,879",1.86,4.8,6-May-03
Blue Lake,City,Humboldt,"1,253",0.59,1.5,23-Apr-10
Blythe,City,Riverside,"20,817",26.19,67.8,21-Jul-16
Bradbury,City,Los Angeles,"1,048",1.96,5.1,26-Jul-57
Brawley,City,Imperial,"24,953",7.68,19.9,6-Apr-08
Brea,City,Orange,"39,282",12.08,31.3,23-Feb-17
Brentwood,City,Contra Costa,"51,481",14.79,38.3,21-Jan-48
Brisbane,City,San Mateo,"4,282",3.1,8,27-Nov-61
Buellton,City,Santa Barbara,"4,828",1.58,4.1,1-Feb-92
Buena Park,City,Orange,"80,530",10.52,27.2,27-Jan-53
