Date,Cloudiness,High Temperature,Low Temperature,Humidity,Precipitation,Wind Speed,Summary,Dew Point,Moon Phase
2018-01-01 08:00:00,0.4,69.61,53.89,0.67,0.0004,0.75,Foggy in the morning.,46.15,0.49
2018-01-02 08:00:00,0.37,77.69,56.38,0.56,0.0,0.97,Partly cloudy throughout the day.,45.95,0.53
2018-01-03 08:00:00,0.51,72.25,54.32,0.56,0.0,0.11,Partly cloudy throughout the day.,45.94,0.57
2018-01-04 08:00:00,0.18,76.56,55.93,0.5,0.0002,0.8,Clear throughout the day.,42.91,0.6
2018-01-05 08:00:00,0.27,74.69,59.0,0.6,0.0,1.56,Partly cloudy starting in the afternoon.,48.76,0.64
2018-01-06 08:00:00,0.55,73.1,55.88,0.71,0.0,1.0,Partly cloudy throughout the day.,53.39,0.67
2018-01-07 08:00:00,0.33,71.84,61.88,0.67,0.0,0.9,Partly cloudy throughout the day.,51.73,0.71
2018-01-08 08:00:00,0.7,73.78,57.23,0.65,0.0256,0.85,Rain overnight.,52.47,0.74
2018-01-09 08:00:00,0.95,61.77,56.16,0.83,0.1434,5.41,Rain in the morning and afternoon.,53.87,0.78
2018-01-10 08:00:00,0.77,61.34,51.11,0.83,0.0148,2.61,Mostly cloudy throughout the day.,52.41,0.81
2018-01-11 08:00:00,0.06,71.01,52.09,0.76,0.0005,0.94,Partly cloudy overnight.,51.14,0.84
2018-01-12 08:00:00,0.36,73.9,56.95,0.7,0.0006,0.99,Partly cloudy starting in the evening.,50.33,0.87
2018-01-13 08:00:00,0.07,82.5,61.5,0.35,0.0004,2.03,Clear throughout the day.,38.3,0.9
2018-01-14 08:00:00,0.22,79.47,54.54,0.34,0.0,0.81,Partly cloudy until evening.,36.52,0.93
2018-01-15 08:00:00,0.16,73.38,53.87,0.52,0.0,0.45,Partly cloudy starting in the afternoon.,43.14,0.96
2018-01-16 08:00:00,0.43,70.3,54.49,0.64,0.0,1.28,Partly cloudy throughout the day.,48.5,0.99
2018-01-17 08:00:00,0.22,76.51,55.45,0.59,0.0,0.69,Partly cloudy until afternoon.,47.53,0.02
2018-01-18 08:00:00,0.24,77.05,54.61,0.61,0.0,0.38,Partly cloudy throughout the day.,47.4,0.05
2018-01-19 08:00:00,0.78,64.37,54.8,0.77,0.0034,1.89,Mostly cloudy throughout the day.,51.45,0.08
2018-01-20 08:00:00,0.46,59.94,45.89,0.59,0.0012,5.22,Mostly cloudy until afternoon.,41.4,0.12
2018-01-21 08:00:00,0.11,62.08,46.83,0.57,0.0,0.56,"Partly cloudy starting in the afternoon, continuing until evening.",38.28,0.15
2018-01-22 08:00:00,0.05,66.56,47.39,0.44,0.0,1.1,Clear throughout the day.,32.44,0.18
2018-01-23 08:00:00,0.0,73.55,52.08,0.35,0.0,1.28,Clear throughout the day.,30.63,0.22
2018-01-24 08:00:00,0.11,77.2,46.81,0.28,0.0,0.94,"Partly cloudy starting in the afternoon, continuing until evening.",26.38,0.25
2018-01-25 08:00:00,0.4,63.26,48.64,0.57,0.0,1.48,Partly cloudy throughout the day.,39.43,0.29
2018-01-26 08:00:00,0.19,63.52,47.53,0.61,0.0,0.91,Partly cloudy in the morning.,41.53,0.33
2018-01-27 08:00:00,0.08,70.81,54.71,0.36,0.0,1.16,Clear throughout the day.,29.92,0.36
2018-01-28 08:00:00,0.01,82.94,60.75,0.22,0.0,2.64,Clear throughout the day.,27.16,0.4
2018-01-29 08:00:00,0.08,85.66,63.28,0.2,0.0,2.06,Clear throughout the day.,27.99,0.44
2018-01-30 08:00:00,0.37,81.63,56.07,0.2,0.0,0.93,Partly cloudy throughout the day.,27.56,0.48
2018-01-31 08:00:00,0.1,78.8,54.56,0.32,0.0,0.22,Clear throughout the day.,34.09,0.51
2018-02-01 08:00:00,0.09,78.58,56.67,0.44,0.0,0.17,Clear throughout the day.,40.3,0.55
2018-02-02 08:00:00,0.2,82.12,56.08,0.36,0.0,0.33,Partly cloudy until afternoon.,37.09,0.59
2018-02-03 08:00:00,0.01,79.65,53.87,0.34,0.0,0.9,Clear throughout the day.,35.32,0.62
2018-02-04 08:00:00,0.0,82.44,53.05,0.41,0.0,0.6,Clear throughout the day.,39.78,0.66
2018-02-05 08:00:00,0.26,73.29,54.55,0.58,0.0,0.83,Mostly cloudy starting in the evening.,46.23,0.69
2018-02-06 08:00:00,0.41,68.91,53.85,0.69,0.0,0.87,Mostly cloudy in the morning.,49.46,0.72
2018-02-07 08:00:00,0.22,82.07,53.55,0.42,0.0005,1.24,Foggy in the morning.,37.39,0.75
2018-02-08 08:00:00,0.01,80.82,51.51,0.29,0.0,0.82,Partly cloudy overnight.,31.11,0.78
