City,Cloudiness (%),Temperature (F),Humidity (%),Precipitation (%),Wind Speed (mph)
Berkeley,0.18,61.01,0.77,0.0,0.57
Berkeley,0.21,58.94,0.68,0.0,1.32
Berkeley,0.62,55.02,0.78,0.1158,1.16
Berkeley,0.92,61.08,0.9,0.0225,0.89
Berkeley,0.96,60.01,0.93,0.0346,1.51
Berkeley,0.47,57.95,0.87,0.011,0.94
Berkeley,0.65,51.66,0.89,0.0006,1.26
Berkeley,1.0,55.48,0.93,0.1494,1.38
Berkeley,0.92,56.77,0.91,0.2071,2.9
Berkeley,0.74,55.18,0.87,0.0024,1.56
Berkeley,0.72,59.13,0.9,0.0,1.05
Berkeley,0.62,56.71,0.9,0.0005,1.26
Berkeley,0.31,58.55,0.82,0.001,2.37
Berkeley,0.5,54.79,0.86,0.0003,2.04
Berkeley,0.56,57.85,0.85,0.0005,0.66
Berkeley,0.94,57.05,0.91,0.0019,0.81
Berkeley,0.73,57.35,0.91,0.0,1.17
Berkeley,0.97,57.67,0.92,0.0287,2.16
Berkeley,0.37,53.79,0.79,0.0011,2.56
Berkeley,0.03,55.58,0.71,0.0,2.25
Berkeley,0.41,55.39,0.77,0.0043,2.05
Berkeley,0.83,55.72,0.86,0.0542,1.48
Berkeley,0.3,57.24,0.83,0.0004,1.12
Berkeley,0.67,56.95,0.88,0.0817,2.63
Berkeley,0.61,53.92,0.82,0.0202,2.28
Berkeley,0.35,54.03,0.81,0.001,0.91
Berkeley,0.3,59.75,0.76,0.0,1.22
Berkeley,0.05,64.24,0.69,0.0003,1.59
Berkeley,0.17,59.98,0.75,0.0,1.52
Berkeley,0.13,65.77,0.73,0.0,1.4
Berkeley,0.15,65.97,0.7,0.0,1.36
