Date,High,Low,Precipitation
1 Jan 2018,57.9,45,0
2 Jan 2018,62.1,48.9,0
3 Jan 2018,61,52,0
4 Jan 2018,57.9,54,0.24
5 Jan 2018,64,57,0.03
6 Jan 2018,61,50,0.31
7 Jan 2018,60.1,45,0
8 Jan 2018,54,48.9,2.97
9 Jan 2018,57.9,53.1,0.24
10 Jan 2018,64,37.9,0
11 Jan 2018,55.9,48,0
12 Jan 2018,61,46.9,0
13 Jan 2018,62.1,44.1,0
14 Jan 2018,66.9,44.1,0
15 Jan 2018,59,46,0
16 Jan 2018,62.1,50,0.02
17 Jan 2018,61,48.9,0.01
18 Jan 2018,64.9,48.9,0.21
19 Jan 2018,59,43,0
20 Jan 2018,55,39.9,0
21 Jan 2018,57,39,0.03
22 Jan 2018,57,48,0.5
23 Jan 2018,59,42.1,0
24 Jan 2018,59,43,0.47
25 Jan 2018,57.9,42.1,0.14
26 Jan 2018,57,41,0
27 Jan 2018,57,39.9,0
28 Jan 2018,64,44.1,0
29 Jan 2018,69.1,46.9,0
30 Jan 2018,64,45,0
31 Jan 2018,70,45,0
1 Feb 2018,69.1,48.9,0
2 Feb 2018,75.9,50,0
3 Feb 2018,77,53.1,0
4 Feb 2018,79,54,0
5 Feb 2018,77,51.1,0
6 Feb 2018,75,50,0
7 Feb 2018,78.1,52,0
8 Feb 2018,75,50,0
9 Feb 2018,77,51.1,0
10 Feb 2018,75.9,48,0
11 Feb 2018,73,44.1,0
12 Feb 2018,57,39,0
13 Feb 2018,61,42.1,0
14 Feb 2018,66,43,0
15 Feb 2018,62.1,39.9,0
16 Feb 2018,69.1,41,0
17 Feb 2018,68,43,0
18 Feb 2018,70,45,0
19 Feb 2018,59,34,0.14
20 Feb 2018,54,33.1,0
21 Feb 2018,55.9,37.9,0
22 Feb 2018,57.9,39,0
23 Feb 2018,55.9,34,0
24 Feb 2018,59,37,0
25 Feb 2018,57.9,37,0
26 Feb 2018,64.9,44.1,0.29
27 Feb 2018,57,37,0
28 Feb 2018,59,39.9,0.21
1 Mar 2018,57,46,1.74
2 Mar 2018,57,37.9,0.29
3 Mar 2018,51.1,39,0.04
4 Mar 2018,54,37,0
5 Mar 2018,57,37.9,0
6 Mar 2018,63,45,0
7 Mar 2018,70,48.9,0.03
8 Mar 2018,70,52,0.26
9 Mar 2018,66.9,46,0
10 Mar 2018,64.9,48.9,0
11 Mar 2018,57.9,45,0.01
12 Mar 2018,71.1,46.9,0.1
13 Mar 2018,73.9,54,0.55
14 Mar 2018,61,46,0.38
15 Mar 2018,57.9,39,0.67
16 Mar 2018,55,43,0.16
17 Mar 2018,55.9,41,0.09
18 Mar 2018,55,39,0
19 Mar 2018,55.9,41,0
20 Mar 2018,64,51.1,0.78
21 Mar 2018,57.9,51.1,0.68
22 Mar 2018,64.9,55,0.63
23 Mar 2018,59,39.9,0.01
24 Mar 2018,60.1,42.1,0.07
25 Mar 2018,57.9,39.9,0
26 Mar 2018,60.1,39.9,0
27 Mar 2018,66,46.9,0
28 Mar 2018,73,48.9,0
29 Mar 2018,78.1,52,0
30 Mar 2018,82,54,0
31 Mar 2018,80.1,50,0
1 Apr 2018,64.9,46.9,0
2 Apr 2018,69.1,48.9,0
3 Apr 2018,73,42.1,0
4 Apr 2018,66.9,48.9,0
5 Apr 2018,64.9,48.9,0.22
6 Apr 2018,61,53.1,1.79
7 Apr 2018,61,55,1.02
8 Apr 2018,64,46,0
9 Apr 2018,66.9,48,0
10 Apr 2018,78.1,52,0
11 Apr 2018,64,46,0.13
12 Apr 2018,61,46.9,0
13 Apr 2018,63,43,0
14 Apr 2018,69.1,48,0
15 Apr 2018,73,48.9,0.08
16 Apr 2018,63,44.1,0.12
17 Apr 2018,57,39.9,0
18 Apr 2018,64.9,44.1,0
19 Apr 2018,59,41,0
20 Apr 2018,68,46.9,0
21 Apr 2018,68,46.9,0
22 Apr 2018,75,46.9,0
23 Apr 2018,77,48.9,0
24 Apr 2018,73,51.1,0
25 Apr 2018,63,48,0
26 Apr 2018,63,48.9,0
27 Apr 2018,62.1,50,0
28 Apr 2018,66.9,48.9,0
29 Apr 2018,64,48.9,0
30 Apr 2018,64,46.9,0
1 May 2018,64.9,46.9,0
2 May 2018,66.9,50,0
3 May 2018,64.9,48.9,0
4 May 2018,64.9,48.9,0
5 May 2018,71.1,48.9,0
6 May 2018,64,50,0
7 May 2018,66.9,48,0
8 May 2018,73.9,51.1,0
9 May 2018,69.1,52,0
10 May 2018,70,48.9,0
11 May 2018,75,48.9,0
12 May 2018,75,57,0
13 May 2018,68,52,0
14 May 2018,66,51.1,0
15 May 2018,63,52,0
16 May 2018,64.9,50,0
17 May 2018,66,50,0
18 May 2018,71.1,51.1,0
19 May 2018,64,51.1,0
20 May 2018,66,52,0
21 May 2018,66.9,50,0
22 May 2018,70,51.1,0
23 May 2018,59,52,0.02
24 May 2018,61,51.1,0
25 May 2018,64,52,0
26 May 2018,66,53.1,0
27 May 2018,66.9,50,0
28 May 2018,75,51.1,0
29 May 2018,82,52,0
30 May 2018,78.1,50,0
31 May 2018,64.9,48.9,0
1 Jun 2018,69.1,48.9,0
2 Jun 2018,75,52,0
3 Jun 2018,82.9,51.1,0
4 Jun 2018,75.9,51.1,0
5 Jun 2018,78.1,48.9,0
6 Jun 2018,73.9,50,0
7 Jun 2018,70,51.1,0
8 Jun 2018,72,48.9,0
9 Jun 2018,77,54,0
10 Jun 2018,72,50,0
11 Jun 2018,75.9,51.1,0
12 Jun 2018,79,53.1,0
13 Jun 2018,80.1,52,0
14 Jun 2018,84.9,52,0
15 Jun 2018,72,52,0
16 Jun 2018,66.9,52,0
17 Jun 2018,68,53.1,0
18 Jun 2018,69.1,54,0
19 Jun 2018,71.1,52,0
20 Jun 2018,70,51.1,0
21 Jun 2018,70,51.1,0
22 Jun 2018,73.9,51.1,0
23 Jun 2018,82,55,0
24 Jun 2018,90,55,0
25 Jun 2018,71.1,54,0
26 Jun 2018,69.1,51.1,0
27 Jun 2018,73.9,52,0
28 Jun 2018,68,52,0
29 Jun 2018,75.9,53.1,0
30 Jun 2018,78.1,54,0
1 Jul 2018,75.9,53.1,0
2 Jul 2018,62.1,53.1,0
3 Jul 2018,66,53.1,0
4 Jul 2018,71.1,52,0
5 Jul 2018,69.1,52,0
6 Jul 2018,75.9,55.9,0
7 Jul 2018,82.9,54,0
8 Jul 2018,78.1,53.1,0
9 Jul 2018,82,53.1,0
10 Jul 2018,86,55,0
11 Jul 2018,84.9,54,0
12 Jul 2018,73.9,54,0
13 Jul 2018,71.1,55.9,0
14 Jul 2018,75.9,55,0
15 Jul 2018,72,54,0
16 Jul 2018,71.1,53.1,0
17 Jul 2018,73,54,0
18 Jul 2018,73.9,54,0
19 Jul 2018,71.1,53.1,0
20 Jul 2018,73.9,55,0
21 Jul 2018,72,57,0
22 Jul 2018,73.9,57,0
23 Jul 2018,75,55.9,0
24 Jul 2018,75,55,0
25 Jul 2018,78.1,54,0
26 Jul 2018,77,53.1,0
27 Jul 2018,72,52,0
28 Jul 2018,72,51.1,0
29 Jul 2018,72,51.1,0
30 Jul 2018,71.1,51.1,0
31 Jul 2018,72,51.1,0
1 Aug 2018,72,51.1,0
2 Aug 2018,72,51.1,0
3 Aug 2018,75,52,0
4 Aug 2018,77,53.1,0
5 Aug 2018,80.1,52,0
6 Aug 2018,79,50,0
7 Aug 2018,80.1,50,0
8 Aug 2018,72,52,0
9 Aug 2018,73.9,51.1,0
10 Aug 2018,81,50,0
11 Aug 2018,78.1,53.1,0
12 Aug 2018,78.1,53.1,0
13 Aug 2018,75,53.1,0
14 Aug 2018,73,53.1,0
15 Aug 2018,71.1,55,0
16 Aug 2018,73.9,55,0
17 Aug 2018,75,55,0
18 Aug 2018,78.1,48.9,0
19 Aug 2018,75.9,48.9,0
20 Aug 2018,72,53.1,0
21 Aug 2018,71.1,53.1,0
22 Aug 2018,64.9,55,0
23 Aug 2018,73,54,0
24 Aug 2018,71.1,54,0
25 Aug 2018,72,54,0
26 Aug 2018,72,52,0
27 Aug 2018,71.1,53.1,0
28 Aug 2018,71.1,54,0
29 Aug 2018,71.1,53.1,0
30 Aug 2018,75,57.9,0
31 Aug 2018,73.9,54,0
1 Sep 2018,75.9,53.1,0
2 Sep 2018,73,51.1,0
3 Sep 2018,72,54,0
4 Sep 2018,71.1,54,0
5 Sep 2018,71.1,53.1,0
6 Sep 2018,64,52,0
7 Sep 2018,71.1,48.9,0
8 Sep 2018,75,51.1,0
9 Sep 2018,82.9,50,0
10 Sep 2018,78.1,52,0
11 Sep 2018,82,51.1,0
12 Sep 2018,82.9,50,0
13 Sep 2018,75,53.1,0
14 Sep 2018,75.9,52,0
15 Sep 2018,73,52,0
16 Sep 2018,71.1,48.9,0
17 Sep 2018,75,53.1,0
