University/College ,Campus,Studentenrollment,Total lawenforcement employees,Totalofficers,Totalcivilians
Allan Hancock College,,"11,047",10.0,5.0,5.0
California State Polytechnic University,Pomona,"23,966",27.0,19.0,8.0
California State Polytechnic University,San Luis Obispo,"20,186",33.0,17.0,16.0
California State University,Bakersfield,"8,720",21.0,14.0,7.0
California State University,Channel Islands,"5,879",28.0,14.0,14.0
California State University,Chico,"17,287",25.0,14.0,11.0
California State University,Dominguez Hills,"14,687",26.0,20.0,6.0
California State University,East Bay,"14,823",26.0,15.0,11.0
California State University,Fresno,"23,179",31.0,20.0,11.0
California State University,Fullerton,"38,128",37.0,27.0,10.0
California State University,Long Beach,"36,809",38.0,24.0,14.0
California State University,Los Angeles,"24,488",28.0,17.0,11.0
California State University,Monterey Bay,"6,631",23.0,14.0,9.0
California State University,Northridge,"40,131",36.0,22.0,14.0
California State University,Sacramento,"29,349",38.0,22.0,16.0
California State University,San Bernardino,"18,952",25.0,15.0,10.0
California State University,San Jose,"32,713",77.0,29.0,48.0
California State University,San Marcos,"12,154",28.0,21.0,7.0
California State University,Stanislaus,"9,045",17.0,11.0,6.0
College of the Sequoias,,"10,647",5.0,4.0,1.0
Contra Costa Community College,,"35,481",34.0,21.0,13.0
Cuesta College,,"9,221",12.0,7.0,5.0
El Camino College,,"24,207",32.0,25.0,7.0
Foothill-De Anza College,,"38,134",15.0,10.0,5.0
Humboldt State University,,"8,485",19.0,12.0,7.0
Marin Community College,,"5,500",7.0,6.0,1.0
Pasadena Community College,,"26,611",11.0,6.0,5.0
Riverside Community College,,"36,582",23.0,18.0,5.0
San Bernardino Community College,,"18,897",20.0,7.0,13.0
San Diego State University,,"33,483",47.0,24.0,23.0
San Francisco State University,,"29,465",53.0,27.0,26.0
San Jose/Evergreen Community College,,"18,205",11.0,4.0,7.0
Santa Rosa Junior College,,"23,144",26.0,14.0,12.0
Sonoma State University,,"9,290",27.0,13.0,14.0
State Center Community College District,,"36,940",33.0,12.0,21.0
University of California,Berkeley,"37,565",151.0,65.0,86.0
University of California,Davis,"34,508",83.0,43.0,40.0
University of California,Hastings College of Law,"1,003",7.0,7.0,0.0
University of California,Irvine,"30,051",54.0,33.0,21.0
University of California,Los Angeles,"41,845",98.0,60.0,38.0
University of California,Merced,"6,268",20.0,12.0,8.0
University of California,Riverside,"21,498",44.0,31.0,13.0
University of California,San Diego,"30,709",64.0,37.0,27.0
University of California,San Francisco,"3,170",118.0,45.0,73.0
University of California,Santa Barbara,"23,051",50.0,37.0,13.0
University of California,Santa Cruz,"17,866",30.0,18.0,12.0
Ventura County Community College District,,"33,956",16.0,15.0,1.0
West Valley-Mission College,,"17,497",13.0,9.0,4.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
