City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
Alameda,"78,613",112,83,29
Albany,"19,723",30,23,7
Alhambra,"86,175",128,85,43
Alturas,"2,566",6,5,1
Anaheim,"349,471",577,399,178
Anderson,"10,277",24,18,6
Antioch,"110,537",115,91,24
Arcadia,"58,694",93,68,25
Arcata,"17,789",35,25,10
Arroyo Grande,"18,071",27,23,4
Arvin,"20,902",29,22,7
Atascadero,"29,316",37,27,10
Atherton,"7,205",26,19,7
Atwater,"29,219",37,30,7
Auburn,"14,118",26,19,7
Avenal,"12,859",16,15,1
Azusa,"49,431",93,59,34
Bakersfield,"373,887",542,388,154
Baldwin Park,"77,538",92,65,27
Banning,"31,030",39,25,14
Barstow,"23,700",54,37,17
Bear Valley,"5,428",14,5,9
Beaumont,"43,626",56,36,20
Bell,"36,395",37,29,8
Bell Gardens,"43,411",64,50,14
Belmont,"27,377",44,31,13
Belvedere,"2,144",8,7,1
Benicia,"28,159",44,28,16
Berkeley,"120,387",260,172,88
Beverly Hills,"35,054",175,117,58
Bishop,"3,833",19,13,6
Blythe,"18,961",30,20,10
Brawley,"26,023",49,35,14
Brea,"42,043",96,63,33
Brentwood,"58,398",80,65,15
Brisbane,"4,696",19,16,3
Broadmoor,"4,382",11,10,1
Buena Park,"83,684",119,83,36
Burbank,"105,865",226,146,80
Burlingame,"30,672",55,37,18
Calexico,"40,085",45,28,17
California City,"13,218",32,21,11
Calipatria,"7,492",5,5,0
Calistoga,"5,338",12,8,4
Campbell,"41,544",63,40,23
Capitola,"10,201",29,21,8
Carlsbad,"113,972",152,105,47
Carmel,"3,913",25,15,10
Cathedral City,"53,947",67,46,21
Central Marin,"35,272",46,43,3
Ceres,"47,693",63,47,16
Chico,"89,949",135,88,47
Chino,"86,344",155,105,50
Chowchilla,"18,978",23,16,7
Chula Vista,"265,215",303,217,86
Citrus Heights,"86,853",132,86,46
City of Angels,"3,738",8,7,1
Claremont,"36,331",62,38,24
Clayton,"11,879",11,10,1
Clearlake,"15,044",27,21,6
Cloverdale,"8,839",19,12,7
Clovis,"103,769",155,96,59
Coalinga,"16,073",31,20,11
Colma,"1,531",24,18,6
Colton,"54,503",78,51,27
Colusa,"5,937",8,7,1
Concord,"128,767",206,152,54
Corcoran,"22,435",28,16,12
Corning,"7,527",20,13,7
Corona,"163,633",222,157,65
Coronado,"25,138",62,42,20
Costa Mesa,"113,477",177,114,63
Cotati,"7,469",17,11,6
Covina,"49,300",81,56,25
Crescent City,"6,599",12,11,1
Culver City,"39,890",149,103,46
Cypress,"49,560",68,52,16
Daly City,"107,320",151,112,39
Davis,"67,034",92,56,36
Delano,"52,534",68,51,17
Del Rey Oaks,"1,696",6,6,0
Desert Hot Springs,"28,416",26,22,4
Dinuba,"24,223",48,37,11
Dixon,"19,357",26,21,5
Dos Palos,"5,112",8,7,1
Downey,"114,754",147,109,38
East Palo Alto,"29,864",44,33,11
El Cajon,"103,942",181,118,63
El Centro,"44,033",73,49,24
El Cerrito,"24,842",48,40,8
Elk Grove,"166,183",205,124,81
El Monte,"117,376",148,107,41
El Segundo,"17,164",75,57,18
Emeryville,"11,549",49,34,15
Escalon,"7,449",11,10,1
Escondido,"151,732",198,148,50
Etna,705,3,3,0
Eureka,"26,858",71,48,23
Exeter,"10,611",17,15,2
Fairfax,"7,686",16,11,5
Fairfield,"112,582",178,116,62
Farmersville,"10,835",16,15,1
Ferndale,"1,362",5,5,0
Firebaugh,"8,484",15,11,4
Folsom,"76,183",89,67,22
Fontana,"206,982",274,185,89
Fort Bragg,"7,310",20,15,5
Fortuna,"11,876",23,15,8
Foster City,"33,313",50,36,14
Fountain Valley,"57,392",79,60,19
Fowler,"6,144",13,12,1
Fremont,"232,427",280,180,100
Fresno,"520,837",959,702,257
Fullerton,"140,771",203,140,63
Galt,"25,106",48,36,12
Gardena,"60,782",117,92,25
Garden Grove,"176,041",217,154,63
Gilroy,"53,467",91,61,30
Glendale,"202,298",339,236,103
Glendora,"51,753",81,48,33
Gonzales,"8,507",13,10,3
Grass Valley,"12,883",27,24,3
Greenfield,"17,061",18,16,2
Gridley,"6,580",18,14,4
Grover Beach,"13,589",22,14,8
Guadalupe,"7,318",13,11,2
Gustine,"5,726",11,9,2
Hanford,"55,299",81,55,26
Hawthorne,"88,410",132,94,38
Hayward,"157,157",288,174,114
Healdsburg,"11,744",22,15,7
Hemet,"84,030",89,65,24
Hercules,"25,326",24,21,3
Hermosa Beach,"19,986",63,38,25
Hillsborough,"11,559",31,23,8
Hollister,"37,604",33,27,6
Huntington Beach,"203,233",330,210,120
Huntington Park,"59,668",90,56,34
Huron,"6,818",6,4,2
Imperial,"17,338",18,15,3
Indio,"87,195",100,62,38
Inglewood,"112,450",225,173,52
Ione,"6,804",6,6,0
Irvine,"258,198",298,203,95
Irwindale,"1,433",33,25,8
Jackson,"4,593",10,9,1
Kensington,"5,329",10,10,0
Kerman,"14,595",22,19,3
King City,"13,755",17,15,2
Kingsburg,"11,813",19,13,6
Laguna Beach,"23,485",82,46,36
La Habra,"62,488",99,67,32
Lakeport,"4,781",11,10,1
Lake Shastina,"2,529",3,3,0
La Mesa,"59,676",92,63,29
La Palma,"16,001",27,21,6
La Verne,"32,595",61,40,21
Lemoore,"25,348",38,31,7
Lincoln,"46,663",26,19,7
Lindsay,"13,579",19,14,5
Livermore,"88,316",131,86,45
Livingston,"14,007",27,19,8
Lodi,"64,369",102,71,31
Lompoc,"44,446",61,42,19
Long Beach,"476,318","1,123",771,352
Los Alamitos,"11,789",25,22,3
Los Altos,"30,598",45,30,15
Los Angeles,"3,962,726","12,665","9,863","2,802"
Los Banos,"37,395",60,38,22
Los Gatos,"31,044",58,39,19
Madera,"64,127",74,56,18
Mammoth Lakes,"7,955",14,11,3
Manhattan Beach,"36,065",104,64,40
Manteca,"75,019",84,60,24
Marina,"21,094",35,29,6
Martinez,"37,923",46,34,12
Marysville,"12,264",24,16,8
McFarland,"13,848",16,13,3
Mendota,"11,470",16,14,2
Menlo Park,"33,619",65,45,20
Merced,"82,409",115,80,35
Mill Valley,"14,527",27,21,6
Milpitas,"75,520",109,85,24
Modesto,"210,794",295,216,79
Monrovia,"37,618",75,47,28
Montclair,"38,899",68,47,21
Montebello,"64,280",103,68,35
Monterey,"28,491",57,44,13
Monterey Park,"61,750",96,69,27
Moraga,"17,284",13,12,1
Morgan Hill,"43,154",60,40,20
Morro Bay,"10,620",19,17,2
Mountain View,"80,705",133,90,43
Mount Shasta,"3,258",11,8,3
Murrieta,"109,495",126,85,41
Napa,"80,749",114,72,42
National City,"60,768",112,81,31
Nevada City,"3,020",11,9,2
Newark,"45,258",76,55,21
Newman,"10,881",14,11,3
Newport Beach,"87,749",217,139,78
Novato,"55,782",81,57,24
Oakdale,"22,137",32,22,10
Oakland,"419,481","1,034",734,300
Oceanside,"176,319",276,206,70
Ontario,"170,274",321,234,87
Orange,"140,572",203,150,53
Orange Cove,"9,715",12,11,1
Orland,"7,549",13,13,0
Oroville,"16,289",45,24,21
