State/Tribal/Other ,Agency,Unit/Office,"Total law
enforcement
employees","Total
officers","Total
civilians"
State Agencies,Atascadero State Hospital,,139,128,11
State Agencies,California State Fair,,3,3,0
State Agencies,Coalinga State Hospital,,228,210,18
State Agencies,Department of Parks and Recreation,Capital,560,530,30
State Agencies,Fairview Developmental Center,,17,14,3
State Agencies,Napa State Hospital,,114,107,7
State Agencies,Patton State Hospital,,85,69,16
State Agencies,Porterville Developmental Center,,50,47,3
State Agencies,Sonoma Developmental Center,,17,7,10
Tribal Agencies,Coyote Valley Tribal,,6,5,1
Tribal Agencies,Hoopa Valley Tribal,,18,6,12
Tribal Agencies,La Jolla Tribal,,2,2,0
Tribal Agencies,Los Coyotes Tribal,,6,6,0
Tribal Agencies,Sycuan Tribal,,19,11,8
Tribal Agencies,Table Mountain Rancheria,,24,15,9
Tribal Agencies,Tule River Tribal,,27,7,20
Tribal Agencies,Yurok Tribal,,11,9,2
Other Agencies,East Bay Regional Parks,Alameda County,81,59,22
Other Agencies,Fontana Unified School District,,68,16,52
Other Agencies,Monterey Peninsula Airport,,7,7,0
Other Agencies,Port of San Diego Harbor,,152,122,30
Other Agencies,San Bernardino Unified School District,,72,23,49
Other Agencies,San Francisco Bay Area Rapid Transit,Contra Costa County,285,197,88
Other Agencies,Shasta County Marshal,,24,20,4
Other Agencies,Stockton Unified School District,,27,20,7
Other Agencies,Twin Rivers Unified School District,,27,22,5
