Metropolitan/Nonmetropolitan,County,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape(legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Metropolitan Counties,Alameda,510,6.0,13.0,,177,314,"2,077",463,985,629,11.0
Metropolitan Counties,Butte3,155,4.0,20.0,,14,117,"1,422",708,693,21,0.0
Metropolitan Counties,Contra Costa,426,14.0,24.0,,153,235,"2,013",660,"1,332",21,18.0
Metropolitan Counties,El Dorado3,252,9.0,46.0,,32,165,"2,031",577,"1,412",42,4.0
Metropolitan Counties,Fresno,962,8.0,32.0,,112,810,"3,810","1,398","1,838",574,145.0
Metropolitan Counties,Imperial3,219,0.0,6.0,,7,206,625,202,395,28,21.0
Metropolitan Counties,Kern,"2,235",31.0,157.0,,360,"1,687","9,903","3,243","4,777","1,883",300.0
Metropolitan Counties,Kings3,122,2.0,16.0,,9,95,470,193,265,12,5.0
Metropolitan Counties,Los Angeles,"5,173",98.0,304.0,,"1,212","3,559","16,301","3,739","8,359","4,203",215.0
Metropolitan Counties,Madera,334,1.0,18.0,,26,289,"1,252",556,686,10,4.0
Metropolitan Counties,Marin,95,3.0,5.0,,20,67,746,189,554,3,4.0
Metropolitan Counties,Merced,432,10.0,20.0,,30,372,"1,605",596,955,54,10.0
Metropolitan Counties,Monterey,244,5.0,31.0,,48,160,"1,246",347,872,27,12.0
Metropolitan Counties,Napa,79,1.0,13.0,,3,62,278,107,170,1,0.0
Metropolitan Counties,Orange,213,2.0,12.0,,28,171,"1,265",244,879,142,11.0
Metropolitan Counties,Placer,299,4.0,20.0,,36,239,"1,659",454,"1,163",42,4.0
Metropolitan Counties,Riverside,885,12.0,38.0,,172,663,"7,680","1,880","4,321","1,479",18.0
Metropolitan Counties,Sacramento,"3,117",37.0,155.0,,"1,026","1,899","11,164","3,690","7,348",126,31.0
Metropolitan Counties,San Benito,41,1.0,4.0,,4,32,173,57,106,10,0.0
Metropolitan Counties,San Bernardino,920,18.0,91.0,,141,670,"5,527","1,719","2,583","1,225",62.0
Metropolitan Counties,San Diego,"1,161",10.0,110.0,,161,880,"4,784","1,153","2,843",788,41.0
Metropolitan Counties,San Joaquin,845,5.0,18.0,,161,661,"3,564","1,039","2,381",144,30.0
Metropolitan Counties,San Luis Obispo3,324,3.0,17.0,,15,289,"1,347",461,873,13,3.0
Metropolitan Counties,San Mateo,330,3.0,53.0,,90,184,"2,796",467,"1,953",376,15.0
Metropolitan Counties,Santa Barbara,266,2.0,29.0,,32,203,"1,676",511,"1,152",13,12.0
Metropolitan Counties,Santa Clara,232,4.0,36.0,,24,168,"1,358",261,899,198,3.0
Metropolitan Counties,Santa Cruz,295,0.0,25.0,,40,230,"1,935",604,"1,323",8,15.0
Metropolitan Counties,Shasta,697,3.0,69.0,,26,599,958,423,489,46,23.0
Metropolitan Counties,Solano,101,3.0,7.0,,14,77,404,186,176,42,9.0
Metropolitan Counties,Sonoma,638,5.0,73.0,,58,502,"1,468",517,937,14,19.0
Metropolitan Counties,Stanislaus,394,11.0,35.0,,122,226,"2,123",884,"1,188",51,14.0
Metropolitan Counties,Sutter3,104,1.0,9.0,,10,84,562,185,332,45,4.0
Metropolitan Counties,Tulare4,383,23.0,29.0,,64,267,"2,075",750,"1,325",0,0.0
Metropolitan Counties,Ventura,169,3.0,32.0,,16,118,849,236,530,83,15.0
Metropolitan Counties,Yolo,87,1.0,13.0,,5,68,309,109,185,15,6.0
Metropolitan Counties,Yuba,227,3.0,19.0,,40,165,"1,223",417,799,7,11.0
Nonmetropolitan Counties,Alpine3,9,0.0,0.0,,0,9,35,15,19,1,0.0
Nonmetropolitan Counties,Amador3,50,1.0,2.0,,5,42,340,130,205,5,1.0
Nonmetropolitan Counties,Calaveras3,111,6.0,24.0,,8,73,656,251,386,19,0.0
Nonmetropolitan Counties,Colusa3,33,0.0,2.0,,0,31,166,49,116,1,0.0
Nonmetropolitan Counties,Del Norte3,101,1.0,21.0,,13,66,380,194,182,4,13.0
Nonmetropolitan Counties,Glenn3,44,1.0,2.0,,3,38,165,74,89,2,2.0
Nonmetropolitan Counties,Humboldt3,265,7.0,18.0,,45,195,760,371,358,31,12.0
Nonmetropolitan Counties,Inyo3,58,0.0,7.0,,7,44,107,41,65,1,0.0
Nonmetropolitan Counties,Lake3,200,3.0,16.0,,17,164,837,380,452,5,13.0
Nonmetropolitan Counties,Lassen3,47,0.0,3.0,,3,41,200,78,122,0,3.0
Nonmetropolitan Counties,Mariposa,89,0.0,8.0,,1,80,268,77,189,2,0.0
Nonmetropolitan Counties,Mendocino,324,5.0,56.0,,20,243,451,215,230,6,10.0
Nonmetropolitan Counties,Modoc3,34,0.0,1.0,,0,33,54,18,36,0,0.0
Nonmetropolitan Counties,Mono3,14,0.0,1.0,,2,11,42,16,25,1,0.0
Nonmetropolitan Counties,Nevada,139,0.0,10.0,,8,121,716,380,321,15,5.0
Nonmetropolitan Counties,Plumas3,82,1.0,12.0,,4,65,271,111,156,4,0.0
Nonmetropolitan Counties,Sierra,3,0.0,0.0,,0,3,31,5,23,3,0.0
Nonmetropolitan Counties,Siskiyou,39,2.0,4.0,,6,27,158,70,79,9,0.0
Nonmetropolitan Counties,Tehama,167,3.0,5.0,,1,158,249,173,75,1,14.0
Nonmetropolitan Counties,Trinity,34,1.0,6.0,,5,22,187,94,90,3,0.0
